###############################################
Prominent emojis
###############################################


###############################################
POLY
###############################################
http://localhost/distance.php?index=poly

n	id	emoji	name	closeness
7	123	☀️	sun	0.72298
8	11	❤️	red heart	0.71846
9	173	💚	green heart	0.71746
10	95	🌊	water wave	0.71696
11	931	♻️	recycling symbol	0.70982
12	269	❄️	snowflake	0.70982
13	505	🌿	herb	0.70909
14	296	🌞	sun with face	0.70643
15	268	⚡	high voltage	0.70354
16	293	🌲	evergreen tree	0.70282
17	13	😎	smiling face with sunglasses	0.69807
18	214	💪	flexed biceps	0.69177
19	38	👍	thumbs up	0.69130
20	29	🇺🇸	flag: United States	0.69061
21	9	😂	face with tears of joy	0.69038
22	22	🤔	thinking face	0.68854
23	218	👏	clapping hands	0.68625
24	68	🙏	folded hands	0.68557
25	12	💙	blue heart	0.68331
26	74	😍	smiling face with heart-eyes	0.68263
27	17	✨	sparkles	0.68195
28	548	💦	sweat droplets	0.67993
29	92	🙌	raising hands	0.67815
30	114	💕	two hearts	0.67615
31	961	🍃	leaf fluttering in wind	0.67593
32	18	😊	smiling face with smiling eyes	0.67395
33	591	🌴	palm tree	0.67373
34	57	💯	hundred points	0.67329
35	153	🌈	rainbow	0.67198
36	154	👇	backhand index pointing down	0.67110
37	221	✊	raised fist	0.67045
38	111	💥	collision	0.66958
39	552	🐧	penguin	0.66549
40	35	👉	backhand index pointing right	0.66549
41	150	😱	face screaming in fear	0.66420
42	136	😳	flushed face	0.66208
43	10	❤	red heart	0.66123
44	274	💧	droplet	0.66081
45	271	💨	dashing away	0.66038
46	308	🌸	cherry blossom	0.65996
47	43	🇬🇧	flag: United Kingdom	0.65933
48	282	💡	light bulb	0.65891
49	185	🌻	sunflower	0.65598
50	162	🐝	honeybee	0.65598

###############################################
CAPITOL
###############################################
http://localhost/distance.php?index=capitol

n	id	emoji	name	closeness
1	29	🇺🇸	flag: United States	0.69167
2	9	😂	face with tears of joy	0.62636
3	26	🤣	rolling on the floor laughing	0.60698
4	11	❤️	red heart	0.59484
